Year,GeoAreaName,Value
2020,Georgia,68
2021,Georgia,68
2015,Germany,11092
2016,Germany,11059
2017,Germany,11059
2018,Germany,11014
2021,Hungary,3178
2015,Ireland,8
2016,Ireland,8
2017,Ireland,8
2017,Kazakhstan,17
2018,Kazakhstan,17
2019,Kazakhstan,17
2020,Kazakhstan,17
2021,Kazakhstan,17
2020,Bulgaria,266
2021,Bulgaria,266
2015,Belarus,128
2016,Belarus,128
2017,Belarus,128
2018,Belarus,128
2019,Belarus,128
2015,Kyrgyzstan,0
2016,Kyrgyzstan,0
2017,Kyrgyzstan,0
2018,Kyrgyzstan,484
2019,Kyrgyzstan,484
2020,Lithuania,60
2021,Lithuania,60
2018,Montenegro,24
2017,Netherlands,25
2012,Norway,353
2014,Norway,371
2015,Norway,384
2016,Norway,376
2017,Norway,373
2018,Norway,366
2019,Norway,402
2015,Poland,16
2016,Poland,16
2017,Poland,16
2018,Poland,16
2019,Poland,16
2020,Poland,16
2010,Portugal,308
2011,Portugal,308
2012,Portugal,308
2013,Portugal,308
2014,Portugal,308
2015,Portugal,308
2016,Portugal,308
2017,Portugal,308
2018,Portugal,308
2019,Portugal,308
2020,Portugal,308
2005,Romania,3181
2006,Romania,3181
2007,Romania,3181
2008,Romania,3181
2009,Romania,3181
2010,Romania,3181
2011,Romania,3181
2012,Romania,3181
2013,Romania,3181
2014,Romania,3181
2015,Romania,3181
2016,Romania,3181
2017,Romania,3181
2018,Romania,3181
2019,Romania,3181
2020,Romania,3181
2021,Romania,3181
2010,Serbia,174
2011,Serbia,174
2017,Serbia,174
2018,Serbia,174
2015,Slovenia,212
2016,Slovenia,212
2017,Slovenia,212
2018,Slovenia,212
2019,Slovenia,212
2020,Slovenia,212
2021,Slovenia,212
2015,Sweden,290
2016,Sweden,290
2017,Sweden,0
2018,Sweden,290
2019,Sweden,290
2017,Switzerland,26
2015,Tajikistan,65
2016,Tajikistan,65
2017,Tajikistan,65
2018,Tajikistan,65
2019,Tajikistan,65
2020,Tajikistan,65
2017,Türkiye,1
2020,Türkiye,81
2021,Türkiye,81
2019,Turkmenistan,6
2013,Ukraine,27
2014,Ukraine,27
2015,Ukraine,25
2016,Ukraine,27
2017,Ukraine,27
2018,Ukraine,27
2019,Ukraine,27
2020,Belarus,128
2021,Belarus,128
2020,Ukraine,27
2021,Ukraine,27
2019,Uzbekistan,14
2020,Uzbekistan,200
2021,Uzbekistan,205
2021,Uzbekistan,205
