Year,GeoAreaName,Sex,Value
2000,Albania,BOTHSEX,54.07937
2001,Albania,BOTHSEX,56.59373
2001,Albania,MALE,52.66008
2001,Albania,FEMALE,60.87087
2003,Albania,FEMALE,66.38779
2003,Albania,MALE,61.25696
2003,Albania,BOTHSEX,63.70377
2004,Albania,BOTHSEX,60.75647
2004,Albania,MALE,59.49406
2004,Albania,FEMALE,62.13843
2008,Albania,FEMALE,65.32444
2008,Albania,MALE,64.76811
2008,Albania,BOTHSEX,65.03185
2009,Albania,BOTHSEX,72.28605
2009,Albania,MALE,71.20109
2009,Albania,FEMALE,73.5052
2010,Albania,FEMALE,74.63991
2010,Albania,MALE,73.74577
2010,Albania,BOTHSEX,74.16339
2011,Albania,BOTHSEX,78.8836
2011,Albania,MALE,77.75655
2011,Albania,FEMALE,80.18825
2012,Albania,FEMALE,86.35106
2012,Albania,MALE,83.7272
2012,Albania,BOTHSEX,84.94154
2013,Albania,BOTHSEX,86.70171
2013,Albania,MALE,84.0783
2013,Albania,FEMALE,89.74456
2014,Albania,FEMALE,93.01367
2014,Albania,MALE,88.81087
2014,Albania,BOTHSEX,90.76092
2015,Albania,BOTHSEX,88.12827
2015,Albania,MALE,86.46084
2015,Albania,FEMALE,90.04306
2016,Albania,FEMALE,97.03653
2016,Albania,MALE,94.54732
2016,Albania,BOTHSEX,95.70909
2017,Albania,BOTHSEX,97.24487
2017,Albania,MALE,94.80704
2017,Albania,FEMALE,100
2001,Kazakhstan,MALE,75.34765
2001,Kazakhstan,FEMALE,77.16396
2001,Kazakhstan,BOTHSEX,76.23276
2002,Kazakhstan,BOTHSEX,76.66579
2002,Kazakhstan,FEMALE,77.77643
2002,Kazakhstan,MALE,75.61155
2003,Kazakhstan,MALE,79.92503
2003,Kazakhstan,FEMALE,82.47961
2003,Kazakhstan,BOTHSEX,81.1694
2004,Kazakhstan,BOTHSEX,81.52489
2004,Kazakhstan,FEMALE,82.93201
2004,Kazakhstan,MALE,80.18575
2005,Kazakhstan,MALE,86.85475
2005,Kazakhstan,FEMALE,89.04517
2005,Kazakhstan,BOTHSEX,87.92466
2006,Kazakhstan,BOTHSEX,88.96922
2006,Kazakhstan,FEMALE,89.89836
2006,Kazakhstan,MALE,88.07914
2007,Kazakhstan,MALE,93.47441
2007,Kazakhstan,FEMALE,96.46671
2018,Albania,FEMALE,98.15481
2018,Albania,MALE,96.10306
2018,Albania,BOTHSEX,97.0732
2021,Albania,BOTHSEX,81.38234
2021,Albania,MALE,81.30783
2021,Albania,FEMALE,81.46285
2000,Azerbaijan,BOTHSEX,15.81366
2000,Azerbaijan,FEMALE,16.07746
2000,Azerbaijan,MALE,15.56282
2001,Azerbaijan,BOTHSEX,21.90507
2001,Croatia,BOTHSEX,98.60029
2001,Croatia,FEMALE,99.52419
2001,Croatia,MALE,97.72223
2002,Croatia,FEMALE,98.95491
2002,Croatia,BOTHSEX,99.49066
2002,Croatia,MALE,100
2005,Croatia,MALE,83.00885
2005,Croatia,BOTHSEX,83.52487
2005,Croatia,FEMALE,84.06828
2006,Croatia,FEMALE,83.35871
2007,Serbia,BOTHSEX,91.8696
2007,Serbia,FEMALE,91.30335
2007,Serbia,MALE,92.4136
2008,Serbia,MALE,92.79758
2008,Serbia,FEMALE,91.47339
2008,Serbia,BOTHSEX,92.15034
2009,Serbia,BOTHSEX,87.91655
2009,Serbia,FEMALE,87.90282
2009,Serbia,MALE,87.92954
2010,Serbia,MALE,86.56312
2007,Kazakhstan,BOTHSEX,94.93751
2008,Kazakhstan,BOTHSEX,98.78242
2008,Kazakhstan,FEMALE,99.47385
2008,Kazakhstan,MALE,98.12255
2009,Kazakhstan,MALE,97.1144
2009,Kazakhstan,FEMALE,100
2009,Kazakhstan,BOTHSEX,98.52133
2011,Kazakhstan,BOTHSEX,99.19191
2011,Kazakhstan,FEMALE,100
2011,Kazakhstan,MALE,98.42564
2001,Azerbaijan,MALE,22.55038
2001,Azerbaijan,FEMALE,21.26697
2002,Azerbaijan,FEMALE,23.55994
2002,Azerbaijan,MALE,22.94584
2002,Azerbaijan,BOTHSEX,23.24376
2003,Azerbaijan,BOTHSEX,25.16474
2003,Azerbaijan,MALE,25.33998
2003,Azerbaijan,FEMALE,24.98065
2004,Azerbaijan,FEMALE,23.87069
2004,Azerbaijan,MALE,25.60202
2012,Kazakhstan,MALE,97.57896
2012,Kazakhstan,FEMALE,100
2012,Kazakhstan,BOTHSEX,98.75711
2013,Kazakhstan,BOTHSEX,99.01472
2013,Kazakhstan,FEMALE,100
2013,Kazakhstan,MALE,98.08201
2014,Kazakhstan,MALE,98.0153
2014,Kazakhstan,FEMALE,100
2014,Kazakhstan,BOTHSEX,98.97967
2015,Kazakhstan,BOTHSEX,94.64276
2004,Azerbaijan,BOTHSEX,24.73982
2005,Azerbaijan,BOTHSEX,25.02993
2005,Azerbaijan,MALE,26.15549
2005,Azerbaijan,FEMALE,23.90981
2006,Azerbaijan,FEMALE,26.14209
2006,Azerbaijan,MALE,27.09716
2006,Azerbaijan,BOTHSEX,26.63477
2007,Azerbaijan,BOTHSEX,27.43338
2007,Azerbaijan,MALE,27.18436
2007,Azerbaijan,FEMALE,27.7179
2006,Croatia,BOTHSEX,83.13593
2006,Croatia,MALE,82.92448
2007,Croatia,MALE,83.39262
2007,Croatia,BOTHSEX,82.87441
2007,Croatia,FEMALE,82.32783
2008,Croatia,FEMALE,82.18071
2008,Croatia,BOTHSEX,83.05155
2008,Croatia,MALE,83.87632
2009,Croatia,MALE,84.81092
2009,Croatia,BOTHSEX,84.16768
2008,Azerbaijan,FEMALE,26.2634
2008,Azerbaijan,MALE,26.52275
2008,Azerbaijan,BOTHSEX,26.40131
2009,Azerbaijan,BOTHSEX,25.96676
2009,Azerbaijan,MALE,25.76315
2009,Azerbaijan,FEMALE,26.19964
2010,Azerbaijan,FEMALE,29.7495
2010,Azerbaijan,MALE,30.90901
2010,Azerbaijan,BOTHSEX,30.36956
2011,Azerbaijan,BOTHSEX,31.97878
2015,Kazakhstan,FEMALE,100
2015,Kazakhstan,MALE,89.58722
2016,Kazakhstan,MALE,87.56219
2016,Kazakhstan,FEMALE,95.12533
2016,Kazakhstan,BOTHSEX,91.23202
2019,Kazakhstan,BOTHSEX,90.40156
2019,Kazakhstan,FEMALE,92.20409
2019,Kazakhstan,MALE,88.699
2020,Kazakhstan,MALE,78.01136
2020,Kazakhstan,FEMALE,77.45954
2009,Croatia,FEMALE,83.48784
2010,Croatia,FEMALE,90.9593
2010,Croatia,BOTHSEX,89.70162
2010,Croatia,MALE,88.51256
2011,Croatia,MALE,94.01685
2011,Croatia,BOTHSEX,93.85048
2011,Croatia,FEMALE,93.67445
2012,Croatia,FEMALE,99.15123
2012,Croatia,BOTHSEX,99.11714
2012,Croatia,MALE,99.0849
2011,Azerbaijan,MALE,32.65483
2011,Azerbaijan,FEMALE,31.20685
2012,Azerbaijan,FEMALE,31.78349
2012,Azerbaijan,MALE,33.38246
2012,Azerbaijan,BOTHSEX,32.63392
2013,Azerbaijan,BOTHSEX,32.25455
2013,Azerbaijan,MALE,32.42129
2013,Azerbaijan,FEMALE,32.06344
2014,Azerbaijan,FEMALE,27.41408
2014,Azerbaijan,MALE,26.62413
2013,Croatia,MALE,97.63054
2013,Croatia,BOTHSEX,96.49753
2013,Croatia,FEMALE,95.30095
2014,Croatia,FEMALE,95.75406
2014,Croatia,BOTHSEX,96.53476
2014,Croatia,MALE,97.27508
2015,Croatia,MALE,100
2015,Croatia,BOTHSEX,97.59646
2015,Croatia,FEMALE,95.06462
2016,Croatia,FEMALE,94.74159
2020,Kazakhstan,BOTHSEX,77.74316
2000,Kyrgyzstan,FEMALE,43.20196
2000,Kyrgyzstan,BOTHSEX,42.37808
2000,Kyrgyzstan,MALE,41.58457
2001,Kyrgyzstan,MALE,42.97371
2001,Kyrgyzstan,BOTHSEX,43.21077
2001,Kyrgyzstan,FEMALE,43.45739
2002,Kyrgyzstan,FEMALE,43.84378
2002,Kyrgyzstan,BOTHSEX,43.11458
2002,Kyrgyzstan,MALE,42.41359
2014,Azerbaijan,BOTHSEX,26.98949
2015,Azerbaijan,BOTHSEX,27.60907
2015,Azerbaijan,MALE,27.30664
2015,Azerbaijan,FEMALE,27.96426
2016,Azerbaijan,FEMALE,25.05398
2016,Azerbaijan,MALE,24.8356
2016,Azerbaijan,BOTHSEX,24.9365
2017,Azerbaijan,BOTHSEX,61.29114
2017,Azerbaijan,MALE,61.20141
2017,Azerbaijan,FEMALE,61.39544
2018,Azerbaijan,BOTHSEX,69.11895
2019,Azerbaijan,BOTHSEX,74.19056
2019,Azerbaijan,MALE,68.16053
2019,Azerbaijan,FEMALE,81.14231
2020,Azerbaijan,FEMALE,82.6817
2020,Azerbaijan,MALE,83.71941
2020,Azerbaijan,BOTHSEX,83.23706
2021,Azerbaijan,BOTHSEX,83.81494
2021,Azerbaijan,MALE,84.03695
2021,Azerbaijan,FEMALE,83.56339
2016,Croatia,BOTHSEX,97.43228
2016,Croatia,MALE,99.98647
2017,Croatia,MALE,100
2017,Croatia,BOTHSEX,99.12945
2017,Croatia,FEMALE,98.21131
2018,Croatia,FEMALE,95.23007
2018,Croatia,BOTHSEX,94.94581
2018,Croatia,MALE,94.67717
2019,Croatia,MALE,96.45116
2019,Croatia,BOTHSEX,95.91191
2003,Kyrgyzstan,MALE,43.58924
2003,Kyrgyzstan,BOTHSEX,44.88972
2003,Kyrgyzstan,FEMALE,46.24348
2004,Kyrgyzstan,FEMALE,45.66484
2004,Kyrgyzstan,BOTHSEX,45.34428
2004,Kyrgyzstan,MALE,45.03663
2005,Kyrgyzstan,MALE,44.97823
2005,Kyrgyzstan,BOTHSEX,45.05985
2005,Kyrgyzstan,FEMALE,45.14491
2006,Kyrgyzstan,FEMALE,48.31038
2006,Kyrgyzstan,BOTHSEX,47.36574
2006,Kyrgyzstan,MALE,46.45822
2007,Kyrgyzstan,MALE,47.42803
2007,Kyrgyzstan,BOTHSEX,48.92191
2007,Kyrgyzstan,FEMALE,50.48104
2008,Kyrgyzstan,FEMALE,54.18256
2008,Kyrgyzstan,BOTHSEX,52.43388
2008,Kyrgyzstan,MALE,50.75925
2009,Kyrgyzstan,MALE,52.51228
2009,Kyrgyzstan,BOTHSEX,53.66011
2000,Austria,BOTHSEX,87.42487
2000,Austria,MALE,87.10273
2000,Austria,FEMALE,87.76423
2001,Austria,FEMALE,88.94219
2001,Austria,MALE,88.32133
2001,Austria,BOTHSEX,88.62378
2002,Austria,BOTHSEX,91.4895
2002,Austria,MALE,91.39458
2002,Austria,FEMALE,91.5895
2003,Austria,FEMALE,91.07606
2003,Austria,MALE,90.58811
2003,Austria,BOTHSEX,90.82573
2004,Austria,BOTHSEX,91.32545
2004,Austria,MALE,91.21403
2004,Austria,FEMALE,91.44277
2005,Austria,FEMALE,90.80645
2005,Austria,MALE,90.75377
2005,Austria,BOTHSEX,90.77944
2006,Austria,BOTHSEX,92.98879
2006,Austria,MALE,93.03219
2009,Kyrgyzstan,FEMALE,54.85743
2010,Kyrgyzstan,FEMALE,55.5194
2010,Kyrgyzstan,BOTHSEX,53.95921
2010,Kyrgyzstan,MALE,52.46083
2011,Kyrgyzstan,MALE,55.22403
2011,Kyrgyzstan,BOTHSEX,56.27567
2011,Kyrgyzstan,FEMALE,57.36897
2012,Kyrgyzstan,FEMALE,65.55853
2012,Kyrgyzstan,BOTHSEX,64.3349
2012,Kyrgyzstan,MALE,63.15709
2013,Kyrgyzstan,MALE,63.3284
2013,Kyrgyzstan,BOTHSEX,65.14844
2013,Kyrgyzstan,FEMALE,67.03991
2014,Kyrgyzstan,FEMALE,68.65957
2014,Kyrgyzstan,BOTHSEX,67.30664
2014,Kyrgyzstan,MALE,66.0062
2015,Kyrgyzstan,MALE,67.99856
2015,Kyrgyzstan,BOTHSEX,69.35852
2015,Kyrgyzstan,FEMALE,70.77535
2016,Kyrgyzstan,FEMALE,73.62644
2019,Croatia,FEMALE,95.33884
2020,Croatia,FEMALE,93.60293
2020,Croatia,BOTHSEX,93.44238
2020,Croatia,MALE,93.29198
2000,Cyprus,MALE,72.59589
2000,Cyprus,BOTHSEX,73.2214
2000,Cyprus,FEMALE,73.87755
2001,Cyprus,FEMALE,82.00785
2001,Cyprus,BOTHSEX,82.04187
2001,Cyprus,MALE,82.07331
2006,Austria,FEMALE,92.94315
2007,Austria,FEMALE,92.20555
2007,Austria,MALE,91.30067
2007,Austria,BOTHSEX,91.74187
2008,Austria,BOTHSEX,96.71227
2008,Austria,MALE,96.49694
2008,Austria,FEMALE,96.93859
2009,Austria,FEMALE,96.19308
2009,Austria,MALE,94.42148
2009,Austria,BOTHSEX,95.2851
2016,Kyrgyzstan,BOTHSEX,72.52732
2016,Kyrgyzstan,MALE,71.47371
2017,Kyrgyzstan,MALE,94.4396
2017,Kyrgyzstan,BOTHSEX,95.29989
2017,Kyrgyzstan,FEMALE,96.19876
2018,Kyrgyzstan,FEMALE,91.72233
2018,Kyrgyzstan,BOTHSEX,91.26972
2018,Kyrgyzstan,MALE,90.83742
2019,Kyrgyzstan,MALE,89.10128
2019,Kyrgyzstan,BOTHSEX,89.76144
2002,Cyprus,MALE,78.62002
2002,Cyprus,BOTHSEX,77.74566
2002,Cyprus,FEMALE,76.82553
2003,Cyprus,FEMALE,77.71659
2003,Cyprus,BOTHSEX,77.81516
2003,Cyprus,MALE,77.91232
2004,Cyprus,MALE,78.85228
2004,Cyprus,BOTHSEX,79.88808
2004,Cyprus,FEMALE,80.99342
2005,Cyprus,FEMALE,86.53396
2010,Austria,BOTHSEX,96.94502
2010,Austria,MALE,96.84246
2010,Austria,FEMALE,97.05288
2011,Austria,FEMALE,98.83275
2011,Austria,MALE,97.34474
2011,Austria,BOTHSEX,98.07005
2012,Austria,BOTHSEX,97.6183
