Year,GeoAreaName,Value
2019,Albania,92
2019,Azerbaijan,124
2019,Austria,18
2019,Armenia,73
2019,Belgium,15
2019,Bosnia and Herzegovina,114
2019,Bulgaria,63
2019,Belarus,71
2019,Croatia,32
2019,Cyprus,16
2019,Czechia,33
2019,Denmark,13
2019,Estonia,13
2019,Finland,7
2019,France,10
2019,Georgia,92
2019,Germany,15
2019,Greece,23
2019,Hungary,42
2019,Iceland,8
2019,Ireland,13
2019,Italy,15
2019,Kazakhstan,85
2019,Kyrgyzstan,125
2019,Latvia,40
2019,Lithuania,39
2019,Luxembourg,12
2019,Malta,21
2019,Republic of Moldova,69
2019,Montenegro,115
2019,Netherlands,13
2019,Norway,8
2019,Poland,41
2019,Portugal,10
2019,Romania,68
2019,Serbia,71
2019,Slovakia,30
2019,Slovenia,19
2019,Spain,10
2019,Sweden,8
2019,Switzerland,11
2019,Tajikistan,204
2019,Türkiye,46
2019,Turkmenistan,88
2019,Ukraine,78
2019,North Macedonia,96
2019,Uzbekistan,152
2019,Uzbekistan,152
