Year,GeoAreaName,Cities,Value
2007,Albania,TIRANA,90.0
2015,Austria,VIENNA,100.0
2012,Armenia,NOCITI,75.9
2015,Belgium,BRUSSELS,100.0
2012,Bosnia and Herzegovina,NOCITI,74.0
2009,Bulgaria,VARNA,100.0
2011,Bulgaria,SOFIA,100.0
2007,Belarus,MINSK,100.0
2012,Belarus,NOCITI,100.0
2006,Croatia,ZAGREB,100.0
2015,Czechia,PRAGUE,99.15
2015,Denmark,COPENHAGEN,100.0
2015,Finland,HELSINKI,100.0
2015,France,PARIS,100.0
2007,Georgia,KUTAISI,62.0
2007,Georgia,BATUMI,100.0
2007,Georgia,TBILISI,95.0
2015,Germany,BERLIN,100.0
2011,Greece,ATHENSGAA,100.0
2015,Hungary,BUDAPEST,50.0
2015,Ireland,DUBLIN,88.0
2015,Italy,MILAN,94.55861
2018,Kosovo,NOCITI,71.0
2010,Kyrgyzstan,BISHEKEK,83.0
2012,Montenegro,NOCITI,75.92
2011,Netherlands,ROTTERDAM,100.0
2015,Netherlands,AMSTERDAM-UTRECHT,100.0
2015,Norway,OSLO,100.0
2015,Poland,WARSAW,80.0
2015,Portugal,LISBON,90.10876
2015,Spain,MADRID,94.31423
2015,Spain,BARCELONA,94.31423
2015,Sweden,STOCKHOLM,100.0
2015,Switzerland,ZURICH,99.5
2012,North Macedonia,NOCITI,73.0
2012,North Macedonia,NOCITI,73.0
